m00018,57189772,57190027,1
m00030,44442140,44442389,0
m00037,34139160,34139409,0
m00022,29071467,29071722,0
m00003,115349064,115349319,0
m00058,146131597,146131846,1
m00021,87338161,87338416,0
m00079,69599592,69599841,1
m00039,28258846,28259095,0
m00073,15367739,15367988,0
m00005,93752918,93753173,1
m00059,66080120,66080369,0
m00058,65661535,65661784,0
m00037,67121850,67122099,0
m00030,66245023,66245272,0
m00079,102732025,102732274,0
m00047,62871236,62871485,0
m00122,61835271,61835520,1
m00005,105900012,105900267,0
m00056,18301198,18301447,0
mSu,1513801,1514050,1
m00058,94796667,94796916,1
m00037,11694938,11695187,1
m00003,52589402,52589657,0
m00022,82614898,82615153,0
m00035,116083783,116084032,0
m00071,63233703,63233952,1
m00022,108978482,108978737,0
m00026,40639675,40639924,0
m00024,44899160,44899409,1
m00006,88839915,88840164,0
m00022,5129362,5129617,1
m00068,17819023,17819272,1
m00059,35467077,35467326,0
m00056,1117049,1117298,0
m00100,16313020,16313269,0
m00071,90041159,90041408,1
m00035,85147085,85147334,0
m00052,77866581,77866830,1
m00027,28654749,28655004,0
m00043,30704217,30704466,0
m00079,118864966,118865215,1
m00003,66894545,66894800,0
m00006,111319623,111319872,0
mSu,452956,453205,0
m00107,3057635,3057884,0
m00060,149771706,149771955,0
m00048,52179324,52179573,1
m00097,86724360,86724609,0
m00019,16466728,16466977,0
m00022,4761556,4761811,1
m00017,51489871,51490126,0
m00107,59599713,59599962,0
m00038,138162186,138162435,0
m00122,94242329,94242578,1
mSu,5175285,5175534,1
m00032,107557549,107557798,0
m00025,37777897,37778152,1
m00060,100871711,100871960,0
m00038,84586113,84586362,0
m00073,39214424,39214673,1
m00049,131034657,131034906,0
m00047,8170071,8170320,0
m00068,51087491,51087740,1
m00033,97544385,97544640,1
m00033,89036498,89036753,1
m00043,55744461,55744710,1
m00024,15103432,15103681,1
m00030,59052875,59053124,0
m00075,84708396,84708645,0
m00001,109382595,109382844,1
m00100,15709815,15710064,0
m00004,47789297,47789552,0
m00061,59736916,59737165,1
m00024,32338417,32338666,1
m00059,44117012,44117261,0
m00056,12187257,12187506,0
m00022,94438008,94438263,0
m00073,62797780,62798029,1
m00017,15221877,15222132,0
m00017,40908920,40909175,1
m00023,135562536,135562785,1
m00017,3690221,3690476,1
m00049,173455254,173455503,0
m00030,14557292,14557541,0
m00032,34124297,34124546,0
m00047,89645065,89645314,0
m00056,5234150,5234399,0
m00037,4493004,4493253,0
m00047,42700562,42700811,0
mSu,5477369,5477618,1
m00045,126896979,126897228,0
m00019,29485043,29485292,0
m00107,154269377,154269626,0
m00068,31711674,31711923,1
m00032,151991576,151991825,0
m00018,79577434,79577689,0
m00058,130547054,130547303,0
m00037,61667766,61668015,0
m00084,32045332,32045581,0
m00049,219852322,219852571,0
m00049,74193696,74193945,0
m00056,18587903,18588152,0
m00073,27815199,27815448,1
m00045,98564804,98565053,0
m00124,12133688,12133943,0
m00084,73445589,73445838,1
m00122,4447340,4447589,1
m00033,66551319,66551574,1
m00027,26551985,26552240,0
m00061,51143967,51144216,0
m00053,93873590,93873839,0
m00004,44074113,44074368,0
m00043,32482943,32483192,0
m00068,43909162,43909411,1
m00027,84251894,84252149,0
m00019,63256250,63256499,0
m00019,44469007,44469256,0
m00035,111283489,111283738,0
m00047,48424498,48424747,0
m00096,43744921,43745170,0
m00043,129915926,129916175,0
m00004,122945366,122945621,0
m00022,75938315,75938570,0
m00053,95959365,95959614,0
m00033,62295576,62295831,1
m00083,2216671,2216926,1
m00006,135289235,135289484,0
m00058,36233687,36233936,1
m00037,10036403,10036652,0
m00026,11334453,11334702,1
m00032,24720718,24720967,0
m00033,12219387,12219642,0
m00096,11679513,11679762,0
m00107,67092779,67093028,0
m00004,43263973,43264228,0
m00071,88000243,88000492,1
m00049,154084056,154084305,0
m00097,7592605,7592854,0
m00028,5318007,5318262,1
m00023,108972698,108972947,0
m00068,45017743,45017992,1
m00053,10048074,10048323,0
m00100,16309218,16309467,0
m00027,62656241,62656496,0
mSu,4830139,4830388,0
m00084,43055953,43056202,0
m00044,80298166,80298415,0
m00026,32923119,32923368,1
m00047,63973854,63974103,1
m00030,11283257,11283506,0
m00044,51907200,51907449,0
m00075,95270509,95270758,0
m00059,12335744,12335993,0
m00003,69913687,69913942,0
m00028,108128933,108129188,1
mSu,1935162,1935411,1
m00079,108017341,108017590,1
m00055,71174697,71174946,1
m00122,76486372,76486621,1
m00068,29579359,29579608,1
m00003,55763669,55763924,0
m00058,81668053,81668302,0
m00035,129267083,129267332,0
m00084,84378012,84378261,1
m00035,81823533,81823782,0
m00096,115634078,115634327,0
m00059,19105439,19105688,0
m00059,6658132,6658381,0
m00038,93610169,93610418,0
m00107,136355020,136355269,1
m00045,107361621,107361870,0
m00038,136398814,136399063,0
mSu,5831905,5832154,1
m00037,37399908,37400157,0
m00025,100279194,100279449,1
m00096,113182700,113182949,0
m00052,87975805,87976054,1
m00019,68018254,68018503,0
m00043,27732455,27732704,0
m00097,105656808,105657057,1
m00096,35298029,35298278,0
m00060,126943796,126944045,0
m00018,44366847,44367102,0
m00027,82594532,82594787,0
m00027,103284527,103284782,0
m00083,44870149,44870404,1
m00045,98573594,98573843,0
m00084,60582405,60582654,1
m00052,47897297,47897546,1
m00043,96243707,96243956,0
m00096,89293629,89293878,0
m00001,87533022,87533271,1
m00039,48025651,48025900,0
m00018,88737297,88737552,0
m00030,20026153,20026402,0
m00032,61005421,61005670,0
m00049,126173319,126173568,0
m00037,32744138,32744387,0
m00047,65034201,65034450,0
m00122,100607825,100608074,1
m00037,68415611,68415860,0
m00018,6587387,6587642,0
m00006,22747901,22748150,0
m00030,24539672,24539921,0
m00001,70037554,70037803,1
m00006,20335335,20335584,0
m00056,44289298,44289547,0
m00124,21131836,21132091,0
mSu,3736157,3736406,1
m00047,32707306,32707555,0
m00039,53947372,53947621,0
m00005,108464469,108464724,1
m00005,53293971,53294226,0
m00083,45388772,45389027,1
m00055,65911182,65911431,1
m00097,129005950,129006199,1
m00022,29435206,29435461,0
m00097,82211016,82211265,0
m00047,60611082,60611331,0
m00083,61190108,61190363,1
m00023,68681862,68682111,0
m00039,105967368,105967617,0
m00056,35840575,35840824,0
m00068,17791204,17791453,1
m00047,55061042,55061291,0
